replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483608633,1,1092,3.0,2.0,0.5,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483608633,3,1092,4.73,2.0,1.3650000000000002,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483608633,5,1092,3.66,2.35,0.655,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483608633,7,1092,3.4699999999999998,2.86,0.30499999999999994,0,2,2,0,0,0,2,2,0
gen9vgc2025regj-2483608633,9,1092,3.19,1.56,0.815,2,3,1,1,0,0,2,1,0
gen9vgc2025regj-2483590598,1,1102,0.18000000000000002,1.01,-0.415,0,1,1,1,1,0,2,1,0
gen9vgc2025regj-2483590598,3,1102,1.0,2.76,-0.8799999999999999,3,1,-2,1,1,0,1,2,0
gen9vgc2025regj-2483589830,1,1493,1.72,3.06,-0.67,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483589830,3,1493,0.7000000000000001,3.97,-1.635,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483589830,5,1493,2.0,3.8600000000000003,-0.9300000000000002,2,0,-2,0,1,0,2,2,0
gen9vgc2025regj-2483589830,7,1493,0.23,3.0,-1.385,2,2,0,0,1,0,2,2,0
gen9vgc2025regj-2483589083,1,1120,2.0,2.0,0.0,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483589083,3,1120,2.85,1.9100000000000001,0.47,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483589083,5,1120,2.3200000000000003,2.94,-0.30999999999999983,0,1,1,0,1,0,2,2,0
gen9vgc2025regj-2483589083,7,1120,3.4800000000000004,2.9699999999999998,0.25500000000000034,0,1,1,0,1,0,2,2,0
gen9vgc2025regj-2483589083,9,1120,3.39,2.89,0.25,1,1,0,1,1,0,2,2,0
gen9vgc2025regj-2483589083,11,1120,1.37,2.51,-0.5699999999999998,3,1,-2,1,1,0,1,2,0
gen9vgc2025regj-2483588780,1,1232,1.01,2.0,-0.495,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483588780,3,1232,0.19,2.01,-0.9099999999999999,0,1,1,1,1,0,2,2,0
gen9vgc2025regj-2483588780,5,1232,1.3399999999999999,3.0199999999999996,-0.8399999999999999,0,1,1,0,1,0,2,2,0
gen9vgc2025regj-2483588780,7,1232,1.0,3.07,-1.035,3,2,-1,1,1,0,1,2,0
gen9vgc2025regj-2483588527,1,1239,1.95,1.04,0.45499999999999996,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483588527,3,1239,1.35,1.04,0.15500000000000003,0,2,2,1,0,0,2,2,0
gen9vgc2025regj-2483588527,5,1239,2.45,0.64,0.905,1,3,2,1,0,0,2,1,0
gen9vgc2025regj-2483588527,7,1239,2.45,0.0,1.225,2,4,2,1,0,0,2,0,1
